emp_no,salary,from_date,to_date
10752,47277,1996-05-27,1997-05-27
10752,48699,1997-05-27,1998-05-27
10752,50067,1999-05-27,2000-05-26
10752,49093,1998-05-27,1999-05-27
10752,51916,2000-05-26,2001-05-26
10752,55498,2002-05-26,9999-01-01
10752,42999,1994-05-28,1995-05-28
10752,55865,2001-05-26,2002-05-26
10752,43680,1995-05-28,1996-05-27
10753,78672,1994-05-15,1995-05-15
10753,82623,1995-05-15,1996-05-14
10753,61179,1986-05-17,1987-05-17
10753,74308,1993-05-15,1994-05-15
10753,68272,1989-05-16,1990-05-16
10753,87276,1997-05-14,1998-05-14
10753,93590,1999-05-14,1999-08-25
10753,91286,1998-05-14,1999-05-14
10753,63129,1987-05-17,1988-05-16
10753,73766,1992-05-15,1993-05-15
10753,71675,1991-05-16,1992-05-15
10753,59507,1985-05-17,1986-05-17
10753,84600,1996-05-14,1997-05-14
10753,68958,1990-05-16,1991-05-16
10753,64843,1988-05-16,1989-05-16
10754,80344,1997-01-08,1998-01-08
10754,82018,1998-01-08,1999-01-08
10754,85363,1999-01-08,2000-01-08
10754,86734,2000-01-08,2001-01-07
10754,72895,1992-01-10,1993-01-09
10754,90382,2001-01-07,2002-01-07
10754,79122,1996-01-09,1997-01-08
10754,91523,2002-01-07,9999-01-01
10754,63997,1989-01-10,1990-01-10
10754,75037,1993-01-09,1994-01-09
10754,67478,1990-01-10,1991-01-10
10754,71048,1991-01-10,1992-01-10
10754,78562,1994-01-09,1995-01-09
10754,61081,1988-01-11,1989-01-10
10754,79401,1995-01-09,1996-01-09
10755,41628,1996-03-31,1997-03-31
10755,46796,1998-03-31,1999-03-31
10755,44432,1997-03-31,1998-03-31
10755,49601,1999-03-31,2000-03-30
10755,55629,2001-03-30,2001-11-13
10755,51413,2000-03-30,2001-03-30
10756,48486,2000-10-06,2001-10-06
10756,47292,1999-10-07,2000-10-06
10756,48573,2001-10-06,9999-01-01
10756,43190,1998-10-07,1999-10-07
10757,57150,1991-01-05,1991-10-18
10757,49210,1987-01-06,1988-01-06
10757,53784,1990-01-05,1991-01-05
10757,53212,1989-01-05,1990-01-05
10757,53108,1988-01-06,1989-01-05
10757,49134,1986-01-06,1987-01-06
10758,54186,1999-07-01,2000-06-30
10758,56469,2000-06-30,2001-06-30
10758,56861,2001-06-30,2002-06-30
10758,59454,2002-06-30,9999-01-01
10759,46739,1993-12-03,1994-12-03
10759,57562,2000-12-01,2001-12-01
10759,54156,1999-12-02,2000-12-01
10759,51600,1997-12-02,1998-12-02
10759,61507,2001-12-01,9999-01-01
10759,49909,1996-12-02,1997-12-02
10759,53238,1998-12-02,1999-12-02
10759,42599,1992-12-03,1993-12-03
10759,49049,1995-12-03,1996-12-02
10759,47509,1994-12-03,1995-12-03
10760,48860,2000-08-21,2001-08-21
10760,44779,1999-08-22,2000-08-21
10760,49000,2001-08-21,9999-01-01
10760,42211,1998-08-22,1999-08-22
10761,54799,1994-05-30,1995-05-30
10761,60882,1998-05-29,1999-01-04
10761,49974,1992-05-30,1993-05-30
10761,60627,1997-05-29,1998-05-29
10761,50450,1993-05-30,1994-05-30
10761,58831,1995-05-30,1996-05-29
10761,58630,1996-05-29,1997-05-29
10762,68961,2000-01-19,2001-01-18
10762,72209,2001-01-18,2002-01-18
10762,74491,2002-01-18,9999-01-01
10762,59534,1994-01-20,1995-01-20
10762,55552,1993-01-20,1994-01-20
10762,52172,1992-01-21,1993-01-20
10762,61185,1995-01-20,1996-01-20
10762,64692,1998-01-19,1999-01-19
10762,67813,1999-01-19,2000-01-19
10762,61200,1996-01-20,1997-01-19
10762,63977,1997-01-19,1998-01-19
10763,101827,1999-02-20,2000-02-20
10763,70160,1987-02-23,1988-02-23
10763,80155,1990-02-22,1991-02-22
10763,91547,1994-02-21,1995-02-21
10763,104593,2002-02-19,9999-01-01
10763,87021,1992-02-22,1993-02-21
10763,83471,1991-02-22,1992-02-22
10763,89407,1993-02-21,1994-02-21
10763,102778,2001-02-19,2002-02-19
10763,92687,1995-02-21,1996-02-21
10763,74553,1988-02-23,1989-02-22
10763,95561,1996-02-21,1997-02-20
